n,m,time,name
252,1000,670,Dijkstra
252,1000,686,Dijkstra
252,1000,655,Dijkstra
252,1000,576,Dijkstra
252,1000,810,Dijkstra
317,1000,670,Dijkstra
317,1000,717,Dijkstra
317,1000,701,Dijkstra
317,1000,638,Dijkstra
317,1000,608,Dijkstra
317,1000,670,Dijkstra
317,1000,811,Dijkstra
317,1000,733,Dijkstra
317,1000,686,Dijkstra
317,1000,717,Dijkstra
400,1000,623,Dijkstra
400,1000,607,Dijkstra
400,1000,592,Dijkstra
400,1000,592,Dijkstra
400,1000,670,Dijkstra
400,1000,608,Dijkstra
400,1000,686,Dijkstra
400,1000,686,Dijkstra
400,1000,608,Dijkstra
400,1000,623,Dijkstra
504,1000,794,Dijkstra
504,1000,686,Dijkstra
504,1000,623,Dijkstra
504,1000,795,Dijkstra
504,1000,639,Dijkstra
504,1000,654,Dijkstra
504,1000,607,Dijkstra
504,1000,686,Dijkstra
504,1000,607,Dijkstra
504,1000,686,Dijkstra
635,1000,623,Dijkstra
635,1000,701,Dijkstra
635,1000,670,Dijkstra
635,1000,655,Dijkstra
635,1000,654,Dijkstra
635,1000,733,Dijkstra
635,1000,764,Dijkstra
635,1000,857,Dijkstra
635,1000,623,Dijkstra
635,1000,748,Dijkstra
800,1000,701,Dijkstra
800,1000,639,Dijkstra
800,1000,764,Dijkstra
800,1000,638,Dijkstra
800,1000,764,Dijkstra
800,1000,795,Dijkstra
800,1000,795,Dijkstra
800,1000,748,Dijkstra
800,1000,795,Dijkstra
800,1000,670,Dijkstra
1008,1000,795,Dijkstra
1008,1000,795,Dijkstra
1008,1000,779,Dijkstra
1008,1000,795,Dijkstra
1008,1000,717,Dijkstra
1008,1000,716,Dijkstra
1008,1000,716,Dijkstra
1008,1000,732,Dijkstra
1008,1000,733,Dijkstra
1008,1000,748,Dijkstra
1270,1000,811,Dijkstra
1270,1000,732,Dijkstra
1270,1000,732,Dijkstra
1270,1000,904,Dijkstra
1270,1000,779,Dijkstra
1270,1000,842,Dijkstra
1270,1000,795,Dijkstra
1270,1000,779,Dijkstra
1270,1000,857,Dijkstra
1270,1000,748,Dijkstra
1601,1000,904,Dijkstra
1601,1000,811,Dijkstra
1601,1000,748,Dijkstra
1601,1000,763,Dijkstra
1601,1000,826,Dijkstra
1601,1000,873,Dijkstra
1601,1000,763,Dijkstra
