n,m,time,name
1600,640,654,Dense
1600,640,654,Dense
1600,640,779,Dense
1600,1280,4866,Dense
1600,1280,4991,Dense
1600,1280,4991,Dense
1600,1280,5054,Dense
1600,1280,5038,Dense
1600,1280,5272,Dense
1600,1280,4976,Dense
1600,1280,5038,Dense
1600,1280,4897,Dense
1600,1280,4804,Dense
3200,10,249,Dense
3200,10,186,Dense
3200,10,545,Dense
3200,10,186,Dense
3200,10,186,Dense
3200,10,186,Dense
3200,10,155,Dense
3200,10,170,Dense
3200,10,187,Dense
3200,10,171,Dense
3200,20,186,Dense
3200,20,186,Dense
3200,20,186,Dense
3200,20,186,Dense
3200,20,186,Dense
3200,20,171,Dense
3200,20,233,Dense
3200,20,171,Dense
3200,20,217,Dense
3200,20,155,Dense
3200,40,202,Dense
3200,40,186,Dense
3200,40,155,Dense
3200,40,171,Dense
3200,40,218,Dense
3200,40,186,Dense
3200,40,186,Dense
3200,40,186,Dense
3200,40,186,Dense
3200,40,186,Dense
3200,80,186,Dense
3200,80,202,Dense
3200,80,186,Dense
3200,80,186,Dense
3200,80,202,Dense
3200,80,170,Dense
3200,80,217,Dense
3200,80,202,Dense
3200,80,233,Dense
3200,80,202,Dense
3200,160,218,Dense
3200,160,249,Dense
3200,160,217,Dense
3200,160,202,Dense
3200,160,202,Dense
3200,160,217,Dense
3200,160,186,Dense
3200,160,202,Dense
3200,160,218,Dense
3200,160,217,Dense
3200,320,280,Dense
3200,320,265,Dense
3200,320,264,Dense
3200,320,264,Dense
3200,320,265,Dense
3200,320,264,Dense
3200,320,234,Dense
3200,320,249,Dense
3200,320,264,Dense
3200,320,249,Dense
3200,640,577,Dense
3200,640,576,Dense
3200,640,561,Dense
3200,640,577,Dense
3200,640,592,Dense
3200,640,561,Dense
3200,640,592,Dense
3200,640,577,Dense
3200,640,561,Dense
3200,640,592,Dense
3200,1280,2979,Dense
3200,1280,3166,Dense
3200,1280,3150,Dense
3200,1280,3228,Dense
3200,1280,3291,Dense
3200,1280,3291,Dense
3200,1280,3197,Dense
3200,1280,3306,Dense
3200,1280,3291,Dense
