,n,ac_bfs.cpp,ac_dense.cpp,ac_dense_merge.cpp,ac_sweep.cpp,dijkstra_two.cpp,naive.cpp,resolution.cpp
90,800,171,3384,670,202,701,1388,1123
91,800,217,3571,670,155,639,1388,1138
92,800,233,3478,701,171,764,1372,1091
93,800,233,3509,670,202,638,1403,1122
94,800,202,3540,670,187,764,1403,1216
95,800,233,3384,670,202,795,1434,1091
96,800,202,3478,701,155,795,1465,1076
97,800,187,3447,748,186,748,1388,1122
98,800,186,3338,654,171,795,1481,1107
99,800,186,3415,686,186,670,1418,1185
100,1008,218,2854,686,171,795,1777,1544
101,1008,187,3026,748,170,795,1747,1496
102,1008,187,2932,717,171,779,1715,1590
103,1008,202,2979,717,218,795,1778,1559
104,1008,217,2870,686,171,717,1731,1513
105,1008,202,2916,732,171,716,1715,1512
106,1008,218,3135,670,171,716,1716,1481
107,1008,233,2885,701,156,732,1684,1559
108,1008,202,2932,686,171,733,1793,1591
109,1008,187,2932,701,171,748,1793,1481
110,1270,202,2464,670,171,811,2215,2074
111,1270,217,2792,779,171,732,2183,2089
112,1270,233,2433,686,186,732,2105,2090
113,1270,202,2542,701,202,904,2152,2105
114,1270,202,2542,686,186,779,2105,2230
115,1270,202,2495,670,186,842,2246,2152
116,1270,218,2542,701,187,795,2136,2058
117,1270,233,2698,701,218,779,2152,2027
118,1270,217,2589,717,155,857,2120,2120
119,1270,233,2558,702,186,748,2230,2199
120,1601,249,2386,732,202,904,2682,2900
121,1601,217,2184,732,202,811,2589,2854
122,1601,202,2168,810,187,748,2729,2838
123,1601,202,2277,732,217,763,2776,2869
124,1601,234,2152,717,187,826,2636,2979
125,1601,218,2261,717,187,873,2683,2776
126,1601,233,2230,670,202,763,2651,2823
127,1601,233,2214,701,218,794,2714,2823
128,1601,217,2183,748,202,780,2698,2854
129,1601,233,2308,732,217,732,2760,2948
130,2017,234,1949,748,202,950,3400,3962
131,2017,217,1903,717,186,717,3384,4008
132,2017,218,1965,748,202,795,3353,3868
133,2017,234,1934,811,202,748,3353,3962
134,2017,233,1950,748,202,795,3338,3868
135,2017,233,1886,764,202,826,3275,4071
136,2017,233,1949,748,187,794,3337,3992
137,2017,202,1965,732,202,748,3337,3946
138,2017,233,1950,717,186,779,3306,3899
139,2017,234,1949,732,187,779,3322,3914
140,2542,249,1716,780,217,826,4212,5443
141,2542,280,1699,763,202,857,4226,5397
142,2542,202,1731,717,217,873,4148,5397
143,2542,233,1715,748,218,810,4164,5412
144,2542,249,1684,717,202,763,4149,5396
145,2542,248,1746,779,202,873,4227,5335
146,2542,233,1731,732,202,842,4102,5396
147,2542,249,1730,795,186,748,4149,5506
148,2542,264,1684,810,217,795,4165,5444
149,2542,249,1762,733,218,873,4164,5443
150,3203,249,1638,794,217,826,5147,7456
151,3203,264,1622,810,218,936,5178,7487
152,3203,280,1575,748,217,920,5147,7425
153,3203,264,1543,795,202,857,5210,7519
154,3203,295,1716,779,202,872,5241,7440
155,3203,249,1528,842,202,873,5147,7472
156,3203,265,1621,795,202,935,5147,7487
157,3203,264,1590,763,202,763,5148,7394
158,3203,280,1606,857,202,811,5210,7378
159,3203,280,1606,748,218,810,5226,7393
160,4035,264,1388,764,217,841,6660,10358
161,4035,248,1559,826,233,826,6629,10202
162,4035,233,1481,795,218,935,6645,10373
163,4035,249,1403,795,265,888,6566,10295
164,4035,280,1404,810,249,794,6582,10420
165,4035,280,1450,826,234,904,6504,10218
166,4035,249,1465,810,249,982,6520,10232
167,4035,280,1496,795,249,904,6722,10248
168,4035,296,1481,795,217,904,6707,10342
169,4035,249,1450,826,233,966,6661,10248
170,5085,296,1357,811,249,920,8252,14226
171,5085,295,1310,795,249,810,8361,14320
172,5085,265,1357,811,249,841,8220,14164
173,5085,295,1310,811,233,842,8236,14242
174,5085,342,1357,826,248,857,8158,14398
175,5085,280,1325,810,217,811,8220,14133
176,5085,264,1341,795,249,857,8392,14195
177,5085,280,1341,811,249,873,8205,14460
178,5085,280,1356,810,265,842,8064,14367
179,5085,311,1388,889,249,857,8454,14460
180,6407,295,1247,842,264,1028,10420,15000
181,6407,327,1294,888,280,920,10233,15000
182,6407,295,1232,841,265,920,10310,15000
183,6407,327,1248,811,265,842,10295,15000
184,6407,311,1263,858,264,857,10217,15000
185,6407,327,1232,888,280,842,10264,15000
186,6407,296,1309,841,280,920,10435,15000
187,6407,327,1231,873,280,935,10326,15000
188,6407,312,1232,904,280,873,10342,15000
189,6407,296,1184,841,264,904,10295,15000
190,8073,452,1200,842,311,920,12994,15000
191,8073,343,1263,826,280,1013,12853,15000
192,8073,358,1170,857,280,904,12947,15000
193,8073,327,1153,951,280,966,12931,15000
194,8073,343,1185,920,296,904,12900,15000
195,8073,358,1138,935,280,919,12885,15000
196,8073,327,1201,951,295,967,12963,15000
197,8073,327,1216,982,296,935,12838,15000
198,8073,327,1201,889,265,920,12994,15000
199,8073,311,1185,919,280,1044,12916,15000
200,10172,389,1169,888,358,935,15000,15000
201,10172,374,1200,873,342,904,15000,15000
202,10172,343,1201,935,342,998,15000,15000
203,10172,358,1138,857,342,966,15000,15000
204,10172,343,1123,919,327,998,15000,15000
205,10172,374,1231,951,296,1013,15000,15000
206,10172,389,1091,889,342,998,15000,15000
207,10172,342,1169,889,311,966,15000,15000
208,10172,358,1201,904,312,1075,15000,15000
209,10172,327,1138,873,312,982,15000,15000
210,12816,404,1169,951,374,1060,15000,15000
211,12816,452,1153,904,343,1045,15000,15000
212,12816,390,1185,935,358,1028,15000,15000
213,12816,405,1185,904,373,1029,15000,15000
214,12816,451,1138,951,373,982,15000,15000
215,12816,389,1123,951,358,982,15000,15000
216,12816,390,1107,920,358,998,15000,15000
217,12816,389,1107,904,358,982,15000,15000
218,12816,389,1154,920,343,997,15000,15000
219,12816,405,1185,951,358,1044,15000,15000
220,16149,451,1076,982,420,1060,15000,15000
221,16149,420,1138,967,420,1107,15000,15000
222,16149,421,1107,1044,390,1044,15000,15000
223,16149,436,1122,1013,421,1153,15000,15000
224,16149,421,1154,951,421,1341,15000,15000
225,16149,452,1123,1013,404,1060,15000,15000
226,16149,436,1107,951,405,1092,15000,15000
227,16149,436,1123,966,405,1060,15000,15000
228,16149,436,1075,966,405,1075,15000,15000
229,16149,436,1138,982,421,1044,15000,15000
230,20348,499,1169,998,499,1122,15000,15000
231,20348,514,1169,1013,452,1185,15000,15000
232,20348,514,1123,1060,452,1138,15000,15000
233,20348,514,1154,1013,467,1154,15000,15000
234,20348,545,1123,1029,468,1123,15000,15000
235,20348,546,1075,1013,451,1185,15000,15000
236,20348,483,1200,997,498,1232,15000,15000
237,20348,514,1138,1091,468,1309,15000,15000
238,20348,514,1138,1044,467,1138,15000,15000
239,20348,498,1107,966,467,1153,15000,15000
240,25638,577,1107,1060,592,1247,15000,15000
241,25638,577,1107,1107,545,1247,15000,15000
242,25638,624,1201,1091,577,1216,15000,15000
243,25638,592,1200,1091,560,1185,15000,15000
244,25638,561,1185,1138,560,1138,15000,15000
245,25638,608,1154,1060,545,1357,15000,15000
246,25638,592,1138,1060,577,1138,15000,15000
247,25638,608,1169,1092,529,1263,15000,15000
248,25638,561,1138,1091,545,1372,15000,15000
249,25638,577,1169,1107,561,1185,15000,15000
250,32304,685,1216,1138,607,1231,15000,15000
251,32304,701,1154,1153,655,1372,15000,15000
252,32304,686,1169,1122,655,1418,15000,15000
253,32304,686,1216,1107,670,1278,15000,15000
254,32304,717,1185,1107,655,1434,15000,15000
255,32304,701,1170,1138,654,1278,15000,15000
256,32304,717,1185,1106,670,1247,15000,15000
257,32304,701,1200,1138,655,1247,15000,15000
258,32304,701,1169,1107,654,1232,15000,15000
259,32304,686,1185,1154,623,1216,15000,15000
260,40703,872,1278,1216,748,1294,15000,15000
261,40703,857,1262,1201,810,1387,15000,15000
262,40703,888,1278,1185,810,1512,15000,15000
263,40703,826,1278,1216,810,1543,15000,15000
264,40703,810,1248,1185,763,1591,15000,15000
265,40703,826,1262,1200,732,1496,15000,15000
266,40703,810,1232,1200,733,1341,15000,15000
267,40703,841,1278,1154,763,1434,15000,15000
268,40703,811,1278,1310,748,1419,15000,15000
269,40703,889,1216,1247,763,1403,15000,15000
270,51286,1013,1294,1341,888,1668,15000,15000
271,51286,1044,1309,1309,919,1559,15000,15000
272,51286,967,1294,1294,935,1466,15000,15000
273,51286,966,1310,1310,920,1481,15000,15000
274,51286,1045,1340,1294,951,1466,15000,15000
275,51286,982,1341,1309,919,1575,15000,15000
276,51286,967,1309,1310,935,1622,15000,15000
277,51286,982,1325,1326,966,1496,15000,15000
278,51286,997,1357,1325,920,1481,15000,15000
279,51286,1013,1309,1325,920,1482,15000,15000
280,64621,1169,1715,1419,1107,1669,15000,15000
281,64621,1231,1497,1388,1106,1652,15000,15000
282,64621,1169,1512,1403,1092,1715,15000,15000
283,64621,1216,1419,1419,1076,1637,15000,15000
284,64621,1153,1435,1450,1107,1575,15000,15000
285,64621,1216,1434,1512,1123,1622,15000,15000
286,64621,1170,1434,1418,1122,1731,15000,15000
287,64621,1216,1481,1372,1122,1622,15000,15000
288,64621,1216,1481,1418,1123,1746,15000,15000
289,64621,1216,1419,1419,1123,1871,15000,15000
290,81422,1528,1902,1606,1372,1965,15000,15000
291,81422,1450,1528,1591,1372,2011,15000,15000
292,81422,1435,1606,1544,1388,1777,15000,15000
293,81422,1465,1544,1622,1372,2089,15000,15000
294,81422,1496,1559,1575,1356,1950,15000,15000
295,81422,1466,1575,1528,1418,1981,15000,15000
296,81422,1434,1590,1575,1403,1762,15000,15000
297,81422,1465,1606,1575,1419,2120,15000,15000
298,81422,1465,1528,1575,1356,1731,15000,15000
299,81422,1434,1575,1606,1513,1809,15000,15000
300,102592,1778,1746,1840,1668,2043,15000,15000
301,102592,1793,2106,1731,1669,2074,15000,15000
302,102592,1777,1700,1715,1747,1934,15000,15000
303,102592,1715,1715,1699,1684,1918,15000,15000
304,102592,1824,1731,1746,1793,1934,15000,15000
305,102592,1699,1700,1700,1699,2043,15000,15000
306,102592,1809,1762,1700,1700,1918,15000,15000
307,102592,1808,1731,1700,1669,2136,15000,15000
308,102592,1762,1793,1855,1652,1934,15000,15000
309,102592,1808,1747,1762,1652,2121,15000,15000
