n,m,time,name
400,1280,733,Sparse
400,1280,655,Sparse
400,1280,670,Sparse
400,1280,655,Sparse
400,1280,639,Sparse
400,1280,717,Sparse
400,1280,654,Sparse
400,1280,685,Sparse
800,10,15,Sparse
800,10,0,Sparse
800,10,0,Sparse
800,10,0,Sparse
800,10,15,Sparse
800,10,31,Sparse
800,10,0,Sparse
800,10,15,Sparse
800,10,15,Sparse
800,10,15,Sparse
800,20,15,Sparse
800,20,0,Sparse
800,20,15,Sparse
800,20,0,Sparse
800,20,15,Sparse
800,20,15,Sparse
800,20,15,Sparse
800,20,30,Sparse
800,20,15,Sparse
800,20,15,Sparse
800,40,31,Sparse
800,40,15,Sparse
800,40,31,Sparse
800,40,15,Sparse
800,40,15,Sparse
800,40,15,Sparse
800,40,15,Sparse
800,40,31,Sparse
800,40,31,Sparse
800,40,15,Sparse
800,80,62,Sparse
800,80,46,Sparse
800,80,31,Sparse
800,80,46,Sparse
800,80,46,Sparse
800,80,62,Sparse
800,80,46,Sparse
800,80,46,Sparse
800,80,46,Sparse
800,80,46,Sparse
800,160,109,Sparse
800,160,156,Sparse
800,160,124,Sparse
800,160,124,Sparse
800,160,109,Sparse
800,160,109,Sparse
800,160,124,Sparse
800,160,109,Sparse
800,160,124,Sparse
800,160,124,Sparse
800,320,296,Sparse
800,320,280,Sparse
800,320,280,Sparse
800,320,280,Sparse
800,320,311,Sparse
800,320,280,Sparse
800,320,280,Sparse
800,320,296,Sparse
800,320,296,Sparse
800,320,265,Sparse
800,640,717,Sparse
800,640,732,Sparse
800,640,670,Sparse
800,640,717,Sparse
800,640,655,Sparse
800,640,639,Sparse
800,640,670,Sparse
800,640,670,Sparse
800,640,670,Sparse
800,640,670,Sparse
800,1280,1559,Sparse
800,1280,1528,Sparse
800,1280,1621,Sparse
800,1280,1591,Sparse
800,1280,1497,Sparse
800,1280,1434,Sparse
800,1280,1560,Sparse
800,1280,1528,Sparse
800,1280,1497,Sparse
800,1280,1575,Sparse
1600,10,15,Sparse
1600,10,15,Sparse
1600,10,30,Sparse
1600,10,15,Sparse
1600,10,15,Sparse
1600,10,15,Sparse
1600,10,15,Sparse
1600,10,15,Sparse
1600,10,15,Sparse
1600,10,15,Sparse
1600,20,15,Sparse
1600,20,15,Sparse
1600,20,15,Sparse
1600,20,15,Sparse
1600,20,0,Sparse
1600,20,30,Sparse
1600,20,15,Sparse
1600,20,31,Sparse
1600,20,0,Sparse
1600,20,15,Sparse
1600,40,31,Sparse
1600,40,31,Sparse
1600,40,46,Sparse
1600,40,46,Sparse
1600,40,46,Sparse
1600,40,46,Sparse
1600,40,46,Sparse
1600,40,31,Sparse
1600,40,46,Sparse
1600,40,62,Sparse
1600,80,124,Sparse
1600,80,124,Sparse
1600,80,109,Sparse
1600,80,109,Sparse
1600,80,109,Sparse
1600,80,109,Sparse
1600,80,124,Sparse
1600,80,124,Sparse
1600,80,109,Sparse
1600,80,109,Sparse
1600,160,312,Sparse
1600,160,312,Sparse
1600,160,311,Sparse
1600,160,296,Sparse
1600,160,327,Sparse
1600,160,312,Sparse
1600,160,296,Sparse
1600,160,311,Sparse
1600,160,312,Sparse
1600,160,296,Sparse
1600,320,732,Sparse
1600,320,763,Sparse
1600,320,764,Sparse
1600,320,748,Sparse
1600,320,748,Sparse
1600,320,780,Sparse
1600,320,764,Sparse
1600,320,779,Sparse
1600,320,732,Sparse
1600,320,686,Sparse
