n,m,time,name
400,20,0,Naive
400,20,15,Naive
400,20,15,Naive
400,20,15,Naive
400,20,0,Naive
400,20,0,Naive
400,20,0,Naive
400,20,15,Naive
400,20,0,Naive
400,20,0,Naive
400,40,0,Naive
400,40,30,Naive
400,40,0,Naive
400,40,0,Naive
400,40,0,Naive
400,40,0,Naive
400,40,0,Naive
400,40,0,Naive
400,40,15,Naive
400,40,0,Naive
400,80,0,Naive
400,80,15,Naive
400,80,0,Naive
400,80,15,Naive
400,80,0,Naive
400,80,0,Naive
400,80,15,Naive
400,80,15,Naive
400,80,0,Naive
400,80,0,Naive
400,160,31,Naive
400,160,46,Naive
400,160,31,Naive
400,160,15,Naive
400,160,30,Naive
400,160,31,Naive
400,160,46,Naive
400,160,31,Naive
400,160,31,Naive
400,160,15,Naive
400,320,93,Naive
400,320,78,Naive
400,320,93,Naive
400,320,77,Naive
400,320,78,Naive
400,320,93,Naive
400,320,78,Naive
400,320,77,Naive
400,320,77,Naive
400,320,93,Naive
400,640,342,Naive
400,640,311,Naive
400,640,311,Naive
400,640,327,Naive
400,640,327,Naive
400,640,327,Naive
400,640,312,Naive
400,640,327,Naive
400,640,327,Naive
400,640,342,Naive
400,1280,1278,Naive
400,1280,1278,Naive
400,1280,1309,Naive
400,1280,1279,Naive
400,1280,1278,Naive
400,1280,1325,Naive
400,1280,1279,Naive
400,1280,1263,Naive
400,1280,1294,Naive
400,1280,1278,Naive
800,10,0,Naive
800,10,15,Naive
800,10,0,Naive
800,10,30,Naive
800,10,0,Naive
800,10,0,Naive
800,10,15,Naive
800,10,31,Naive
800,10,15,Naive
800,10,15,Naive
800,20,0,Naive
800,20,0,Naive
800,20,15,Naive
800,20,15,Naive
800,20,0,Naive
800,20,0,Naive
800,20,0,Naive
800,20,15,Naive
800,20,15,Naive
800,20,0,Naive
800,40,0,Naive
800,40,0,Naive
800,40,0,Naive
800,40,15,Naive
800,40,0,Naive
800,40,0,Naive
800,40,15,Naive
800,40,15,Naive
800,40,0,Naive
800,40,15,Naive
800,80,31,Naive
800,80,31,Naive
800,80,15,Naive
800,80,30,Naive
800,80,15,Naive
800,80,15,Naive
800,80,31,Naive
800,80,15,Naive
800,80,15,Naive
800,80,15,Naive
800,160,31,Naive
800,160,46,Naive
800,160,31,Naive
800,160,46,Naive
800,160,62,Naive
800,160,46,Naive
800,160,46,Naive
800,160,31,Naive
800,160,46,Naive
800,160,31,Naive
800,320,156,Naive
800,320,171,Naive
800,320,156,Naive
800,320,156,Naive
800,320,140,Naive
800,320,139,Naive
800,320,155,Naive
800,320,140,Naive
800,320,155,Naive
800,320,156,Naive
800,640,577,Naive
800,640,561,Naive
800,640,608,Naive
800,640,577,Naive
800,640,576,Naive
800,640,576,Naive
800,640,592,Naive
800,640,592,Naive
800,640,561,Naive
800,640,608,Naive
800,1280,2292,Naive
800,1280,2355,Naive
800,1280,2339,Naive
800,1280,2261,Naive
